model_name,api_version,display_name,description,input_limit,output_limit,max_output_tokens,temperature_supported,top_k_supported,top_p_supported,base_model_id,version,state,publisher_model,usage_context,primary_type,version_string,version_major,version_minor,version_patch,feature_tags,has_preview,has_exp,has_latest,has_flash,has_pro,has_lite,has_nano,has_ultra,has_vision,has_image,has_embedding,has_tts,has_speech,has_robotics,has_computer_use,has_customtools,has_clip,has_music,has_video,has_gemma,has_lyria,has_imagen,has_deep_research,has_nano_banana,available,status_code,error_type,error_message,time_created,time_updated
gemini-2.5-flash,v1,Gemini 2.5 Flash,"Stable version of Gemini 2.5 Flash, our mid-size multimodal model that supports up to 1 million tokens, released in June of 2025.",1048576,65536,0,False,False,False,,001,,,,gemini-flash,2.5.0,2,5,0,flash,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,200,success,Available,,
gemini-2.5-pro,v1,Gemini 2.5 Pro,"Stable release (June 17th, 2025) of Gemini 2.5 Pro",1048576,65536,0,False,False,False,,2.5,,,,gemini-pro,2.5.0,2,5,0,pro,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,429,quota_exhausted,Rate limit exceeded,,
gemini-2.0-flash,v1,Gemini 2.0 Flash,Gemini 2.0 Flash,1048576,8192,0,False,False,False,,2.0,,,,gemini-flash,2.0.0,2,0,0,flash,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,429,quota_exhausted,Rate limit exceeded,,
gemini-2.0-flash-001,v1,Gemini 2.0 Flash 001,"Stable version of Gemini 2.0 Flash, our fast and versatile multimodal model for scaling across diverse tasks, released in January of 2025.",1048576,8192,0,False,False,False,,2.0,,,,gemini-flash,2.0.0,2,0,0,flash,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,429,quota_exhausted,Rate limit exceeded,,
gemini-2.0-flash-lite-001,v1,Gemini 2.0 Flash-Lite 001,Stable version of Gemini 2.0 Flash-Lite,1048576,8192,0,False,False,False,,2.0,,,,gemini-flash,2.0.0,2,0,0,"flash, lite",False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,429,quota_exhausted,Rate limit exceeded,,
gemini-2.0-flash-lite,v1,Gemini 2.0 Flash-Lite,Gemini 2.0 Flash-Lite,1048576,8192,0,False,False,False,,2.0,,,,gemini-flash,2.0.0,2,0,0,"flash, lite",False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,429,quota_exhausted,Rate limit exceeded,,
gemini-2.5-flash-preview-tts,v1beta,Gemini 2.5 Flash Preview TTS,Gemini 2.5 Flash Preview TTS,8192,16384,0,False,False,False,,gemini-2.5-flash-exp-tts-2025-05-19,,,,gemini-flash,2.5.0,2,5,0,"preview, flash, tts",True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,400,bad_request,"Bad request: {
  ""error"": {
    ""code"": 400,
    ""message"": ""The requested combination of response modalities (TE",,
gemini-2.5-pro-preview-tts,v1beta,Gemini 2.5 Pro Preview TTS,Gemini 2.5 Pro Preview TTS,8192,16384,0,False,False,False,,gemini-2.5-pro-preview-tts-2025-05-19,,,,gemini-pro,2.5.0,2,5,0,"preview, pro, tts",True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,429,quota_exhausted,Rate limit exceeded,,
gemma-3-1b-it,unknown,,,0,0,0,False,False,False,,,,,,gemma,no-version,0,0,0,gemma,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,404,not_found,Model not found,,
gemma-3-4b-it,unknown,,,0,0,0,False,False,False,,,,,,gemma,no-version,0,0,0,gemma,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,404,not_found,Model not found,,
gemma-3-12b-it,unknown,,,0,0,0,False,False,False,,,,,,gemma,no-version,0,0,0,gemma,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,404,not_found,Model not found,,
gemma-3-27b-it,unknown,,,0,0,0,False,False,False,,,,,,gemma,no-version,0,0,0,gemma,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,404,not_found,Model not found,,
gemma-3n-e4b-it,unknown,,,0,0,0,False,False,False,,,,,,gemma,no-version,0,0,0,gemma,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,404,not_found,Model not found,,
gemma-3n-e2b-it,unknown,,,0,0,0,False,False,False,,,,,,gemma,no-version,0,0,0,gemma,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,404,not_found,Model not found,,
gemma-4-26b-a4b-it,unknown,,,0,0,0,False,False,False,,,,,,gemma,no-version,0,0,0,gemma,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,404,not_found,Model not found,,
gemma-4-31b-it,unknown,,,0,0,0,False,False,False,,,,,,gemma,no-version,0,0,0,gemma,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,404,not_found,Model not found,,
gemini-flash-latest,unknown,,,0,0,0,False,False,False,,,,,,gemini-flash,no-version,0,0,0,"latest, flash",False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,404,not_found,Model not found,,
gemini-flash-lite-latest,unknown,,,0,0,0,False,False,False,,,,,,gemini-flash,no-version,0,0,0,"latest, flash, lite",False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,404,not_found,Model not found,,
