Название модели,Тип,Версия,Приоритет,Доступность,Status Code,Has Candidates,Текстовая,Ошибка,API Version
gemini-2.5-flash,flash,2.5,2.5,✅ Работает,200,✅ Да,✅ Да,,v1
gemini-2.5-pro,pro,2.5,2.3,❌ Не работает,429,❌ Нет,✅ Да,status=429,v1
gemini-2.0-flash,flash,2.0,2.0,❌ Не работает,429,❌ Нет,✅ Да,status=429,v1
gemini-2.0-flash-001,flash,2.0,2.0,❌ Не работает,429,❌ Нет,✅ Да,status=429,v1
gemini-2.0-flash-lite-001,flash-lite,2.0,1.5,❌ Не работает,429,❌ Нет,✅ Да,status=429,v1
gemini-2.0-flash-lite,flash-lite,2.0,1.5,❌ Не работает,429,❌ Нет,✅ Да,status=429,v1
gemini-2.5-flash-preview-tts,flash,1.0-preview,1.0,❌ Не работает,400,❌ Нет,❌ Нет,status=400,v1beta
gemini-2.5-pro-preview-tts,pro,1.0-preview,0.8,❌ Не работает,429,❌ Нет,❌ Нет,status=429,v1beta
gemma-3-1b-it,gemma,unknown,0.0,❌ Не работает,404,❌ Нет,❌ Нет,status=404,v1
gemma-3-4b-it,gemma,unknown,0.0,❌ Не работает,404,❌ Нет,❌ Нет,status=404,v1
gemma-3-12b-it,gemma,unknown,0.0,❌ Не работает,404,❌ Нет,❌ Нет,status=404,v1
gemma-3-27b-it,gemma,unknown,0.0,❌ Не работает,404,❌ Нет,❌ Нет,status=404,v1
gemma-3n-e4b-it,gemma,unknown,0.0,❌ Не работает,404,❌ Нет,❌ Нет,status=404,v1
gemma-3n-e2b-it,gemma,unknown,0.0,❌ Не работает,404,❌ Нет,❌ Нет,status=404,v1
gemma-4-26b-a4b-it,gemma,unknown,0.0,❌ Не работает,404,❌ Нет,❌ Нет,status=404,v1
gemma-4-31b-it,gemma,unknown,0.0,❌ Не работает,404,❌ Нет,❌ Нет,status=404,v1
gemini-flash-latest,flash,unknown,0.0,❌ Не работает,404,❌ Нет,✅ Да,status=404,v1
gemini-flash-lite-latest,flash-lite,unknown,-0.5,❌ Не работает,404,❌ Нет,✅ Да,status=404,v1
gemini-pro-latest,pro,unknown,-0.2,❌ Не работает,404,❌ Нет,✅ Да,status=404,v1
gemini-2.5-flash-lite,flash-lite,2.5,2.0,✅ Работает,200,✅ Да,✅ Да,,v1
gemini-2.5-flash-image,flash,2.5,2.5,❌ Не работает,404,❌ Нет,✅ Да,status=404,v1
gemini-3-pro-preview,pro,1.0-preview,0.8,❌ Не работает,429,❌ Нет,✅ Да,status=429,v1beta
gemini-3-flash-preview,flash,3.0-preview,3.0,✅ Работает,200,✅ Да,✅ Да,,v1beta
gemini-3.1-pro-preview,pro,1.0-preview,0.8,❌ Не работает,429,❌ Нет,✅ Да,status=429,v1beta
gemini-3.1-pro-preview-customtools,pro,1.0-preview,0.8,❌ Не работает,429,❌ Нет,✅ Да,status=429,v1beta
gemini-3.1-flash-lite-preview,flash-lite,1.0-preview,0.5,❌ Не работает,,❌ Нет,✅ Да,"HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Read timed out. (read timeout=5)",v1beta
gemini-3-pro-image-preview,pro,1.0-preview,0.8,❌ Не работает,429,❌ Нет,✅ Да,status=429,v1beta
nano-banana-pro-preview,pro,1.0-preview,0.8,❌ Не работает,429,❌ Нет,✅ Да,status=429,v1beta
gemini-3.1-flash-image-preview,flash,1.0-preview,1.0,❌ Не работает,429,❌ Нет,✅ Да,status=429,v1beta
lyria-3-clip-preview,unknown,1.0-preview,1.0,❌ Не работает,429,❌ Нет,✅ Да,status=429,v1beta
lyria-3-pro-preview,pro,1.0-preview,0.8,❌ Не работает,429,❌ Нет,✅ Да,status=429,v1beta
gemini-3.1-flash-tts-preview,flash,1.0-preview,1.0,❌ Не работает,400,❌ Нет,❌ Нет,status=400,v1beta
gemini-robotics-er-1.5-preview,unknown,1.0-preview,1.0,✅ Работает,200,✅ Да,❌ Нет,,v1beta
gemini-robotics-er-1.6-preview,unknown,1.0-preview,1.0,✅ Работает,200,✅ Да,❌ Нет,,v1beta
gemini-2.5-computer-use-preview-10-2025,unknown,1.0-preview,1.0,❌ Не работает,429,❌ Нет,❌ Нет,status=429,v1beta
deep-research-max-preview-04-2026,unknown,1.0-preview,1.0,❌ Не работает,400,❌ Нет,✅ Да,status=400,v1beta
deep-research-preview-04-2026,unknown,1.0-preview,1.0,❌ Не работает,400,❌ Нет,✅ Да,status=400,v1beta
deep-research-pro-preview-12-2025,pro,1.0-preview,0.8,❌ Не работает,400,❌ Нет,✅ Да,status=400,v1beta
gemini-2.5-flash,flash,2.5,2.5,✅ Работает,200,✅ Да,✅ Да,,v1
gemini-2.5-pro,pro,2.5,2.3,❌ Не работает,429,❌ Нет,✅ Да,status=429,v1
gemini-2.0-flash,flash,2.0,2.0,❌ Не работает,429,❌ Нет,✅ Да,status=429,v1
gemini-2.0-flash-001,flash,2.0,2.0,❌ Не работает,429,❌ Нет,✅ Да,status=429,v1
gemini-2.0-flash-lite-001,flash-lite,2.0,1.5,❌ Не работает,429,❌ Нет,✅ Да,status=429,v1
gemini-2.0-flash-lite,flash-lite,2.0,1.5,❌ Не работает,429,❌ Нет,✅ Да,status=429,v1
gemini-2.5-flash-lite,flash-lite,2.5,2.0,✅ Работает,200,✅ Да,✅ Да,,v1
