name,display_name,description,version,has_generate_content,max_output_tokens,methods,api_version
gemini-2.5-flash,Gemini 2.5 Flash,"Stable version of Gemini 2.5 Flash, our mid-size multimodal model that supports up to 1 million tokens, released in June of 2025.",001,True,0,"generateContent, countTokens, createCachedContent, batchGenerateContent",v1beta
gemini-2.5-pro,Gemini 2.5 Pro,"Stable release (June 17th, 2025) of Gemini 2.5 Pro",2.5,True,0,"generateContent, countTokens, createCachedContent, batchGenerateContent",v1beta
gemini-2.0-flash,Gemini 2.0 Flash,Gemini 2.0 Flash,2.0,True,0,"generateContent, countTokens, createCachedContent, batchGenerateContent",v1beta
gemini-2.0-flash-001,Gemini 2.0 Flash 001,"Stable version of Gemini 2.0 Flash, our fast and versatile multimodal model for scaling across diverse tasks, released in January of 2025.",2.0,True,0,"generateContent, countTokens, createCachedContent, batchGenerateContent",v1beta
gemini-2.0-flash-lite-001,Gemini 2.0 Flash-Lite 001,Stable version of Gemini 2.0 Flash-Lite,2.0,True,0,"generateContent, countTokens, createCachedContent, batchGenerateContent",v1beta
gemini-2.0-flash-lite,Gemini 2.0 Flash-Lite,Gemini 2.0 Flash-Lite,2.0,True,0,"generateContent, countTokens, createCachedContent, batchGenerateContent",v1beta
gemini-2.5-flash-preview-tts,Gemini 2.5 Flash Preview TTS,Gemini 2.5 Flash Preview TTS,gemini-2.5-flash-exp-tts-2025-05-19,True,0,"countTokens, generateContent",v1beta
gemini-2.5-pro-preview-tts,Gemini 2.5 Pro Preview TTS,Gemini 2.5 Pro Preview TTS,gemini-2.5-pro-preview-tts-2025-05-19,True,0,"countTokens, generateContent, batchGenerateContent",v1beta
gemma-3-1b-it,Gemma 3 1B,,001,True,0,"generateContent, countTokens",v1beta
gemma-3-4b-it,Gemma 3 4B,,001,True,0,"generateContent, countTokens",v1beta
gemma-3-12b-it,Gemma 3 12B,,001,True,0,"generateContent, countTokens",v1beta
gemma-3-27b-it,Gemma 3 27B,,001,True,0,"generateContent, countTokens",v1beta
gemma-3n-e4b-it,Gemma 3n E4B,,001,True,0,"generateContent, countTokens",v1beta
gemma-3n-e2b-it,Gemma 3n E2B,,001,True,0,"generateContent, countTokens",v1beta
gemma-4-26b-a4b-it,Gemma 4 26B A4B IT,Gemma 4 26B A4B IT,001,True,0,"generateContent, countTokens",v1beta
gemma-4-31b-it,Gemma 4 31B IT,Gemma 4 31B IT,001,True,0,"generateContent, countTokens",v1beta
gemini-flash-latest,Gemini Flash Latest,Latest release of Gemini Flash,Gemini Flash Latest,True,0,"generateContent, countTokens, createCachedContent, batchGenerateContent",v1beta
gemini-flash-lite-latest,Gemini Flash-Lite Latest,Latest release of Gemini Flash-Lite,Gemini Flash-Lite Latest,True,0,"generateContent, countTokens, createCachedContent, batchGenerateContent",v1beta
gemini-pro-latest,Gemini Pro Latest,Latest release of Gemini Pro,Gemini Pro Latest,True,0,"generateContent, countTokens, createCachedContent, batchGenerateContent",v1beta
gemini-2.5-flash-lite,Gemini 2.5 Flash-Lite,"Stable version of Gemini 2.5 Flash-Lite, released in July of 2025",001,True,0,"generateContent, countTokens, createCachedContent, batchGenerateContent",v1beta
gemini-2.5-flash-image,Nano Banana,Gemini 2.5 Flash Preview Image,2.0,True,0,"generateContent, countTokens, batchGenerateContent",v1beta
gemini-3-pro-preview,Gemini 3 Pro Preview,Gemini 3 Pro Preview,3-pro-preview-11-2025,True,0,"generateContent, countTokens, createCachedContent, batchGenerateContent",v1beta
